timestamp,can_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
2026-03-18T10:00:11,972,8,41,106,204,79,16,133,36,49
2026-03-18T10:00:12,688,8,10,168,105,160,40,64,2,77
2026-03-18T10:00:13,165,8,173,200,90,98,189,4,87,88
2026-03-18T10:00:14,688,8,112,11,87,14,221,49,90,98
2026-03-18T10:00:15,500,8,87,7,117,40,187,132,35,233
2026-03-18T10:00:16,165,8,163,205,199,130,11,234,38,15
2026-03-18T10:00:17,1234,8,51,149,88,167,55,139,162,156
2026-03-18T10:00:18,972,8,162,94,10,151,247,28,216,136
2026-03-18T10:00:19,972,8,231,251,135,211,219,104,59,145
2026-03-18T10:00:20,500,8,128,34,148,103,104,183,78,144
2026-03-18T10:00:21,972,8,234,149,152,43,147,47,9,30
