timestamp,can_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7
1767709370.14401,790,8,5,61,8,11,61,42,4,125
1479121612.119683,0430,8,00,00,00,00,00,00,00,00
1478195770.288587,1442,8,05,00,165,01,00,00,00,00
1478195932.344821,0672,8,109,00,50,231,50,78,189,96
1479121582.01305,0131,8,215,127,00,00,168,127,13,30
1479121687.047422,0370,8,00,23,00,00,00,00,00,00
1478191205.690522,0316,8,45,29,24,255,29,24,00,255
1478191047.934133,1087,8,00,40,60,255,71,177,08,00
1479121676.257867,0131,8,192,127,00,00,26,126,14,139
1478191109.509627,672,8,00,00,84,29,96,02,189,00
1478198716.874032,0440,8,255,00,00,00,255,231,08,00
1478195872.492416,1201,8,29,27,27,23,00,00,00,154
1767709370.192877,1088,8,255,2,14,0,255,64,16,2
1767709370.182944,704,8,20,0,0,0,0,0,0,0
1478195803.675644,672,8,64,00,99,29,97,02,189,00
1767709370.230395,688,8,114,255,12,7,44,0,0,0
1479121463.328809,0329,8,87,185,126,14,11,20,00,14
1767709370.132705,1088,8,255,1,1,0,255,68,3,97
1478198788.444105,0000,8,00,00,00,00,00,00,00,00
1767709370.218794,880,8,0,33,0,0,0,0,0,0
1478195752.233484,704,8,15,00,00,00,00,00,00,00
1478191140.274074,672,8,60,00,85,29,96,02,189,00
1478198453.385152,0000,8,00,00,00,00,00,00,00,00
1767709370.155615,608,8,17,57,16,48,255,163,131,61
1478191130.714237,1264,8,00,00,00,80,00,67,209,13
1478198495.161745,0000,8,00,00,00,00,00,00,00,00
1478195863.532359,0430,8,00,00,00,00,00,00,00,00
1767709370.212562,704,8,20,0,0,0,0,0,0,0
1478198572.975632,497,8,08,00,00,00,00,00,00,00
1478195966.452082,0350,8,05,20,24,68,78,00,00,11
1767709370.206217,1349,8,216,0,0,143,0,0,0,0
1479121572.071888,1087,8,09,45,60,255,60,05,18,00
1478191159.476318,0140,8,00,00,00,00,10,21,28,53
1478191280.206832,0316,8,05,21,78,09,21,21,00,74
1767709370.136132,672,8,96,0,107,29,1,4,221,0
1478195912.441307,621,8,229,14,79,219,173,106,186,202
1478195753.576952,0260,8,18,22,22,30,08,143,76,31
1479121593.629962,0545,8,216,00,00,141,00,00,00,00
1478198625.792785,399,8,254,56,00,00,00,60,00,00
1767709370.144788,848,8,5,40,132,102,109,0,0,162
1478195894.273251,0131,8,242,127,00,00,46,127,12,157
1479121594.429582,0545,8,216,86,00,142,00,00,00,00
1478198632.278684,0350,8,05,20,14,68,75,00,00,44
1478198611.373749,497,8,08,00,00,00,00,00,00,00
1478198665.019228,704,8,14,00,00,00,00,00,00,00
1478191103.583256,704,8,15,00,00,00,00,00,00,00
1478195762.952635,0440,8,255,00,00,00,255,210,08,00
1478198732.621394,0350,8,05,20,84,68,78,00,00,177
1767709370.134262,339,8,0,0,0,255,0,255,0,0
1767709370.178609,399,8,254,52,0,0,0,81,0,0
1767709370.209923,790,8,5,28,252,15,28,30,14,125
1478195828.066395,0370,8,00,20,00,00,00,00,00,00
1479121596.426876,672,8,40,00,109,29,01,04,221,00
1478195849.630061,1981,8,53,12,236,50,52,29,161,41
1767709370.143688,1087,8,1,69,96,255,91,91,6,0
1478191033.073698,0316,8,45,29,24,255,29,24,00,255
1478198807.756794,0350,8,05,20,54,68,73,00,00,106
1479121518.827564,0131,8,215,127,00,00,72,81,14,83
1767709370.176208,305,8,206,127,0,0,96,129,14,174
1478198822.805967,0130,8,26,80,00,255,01,80,14,61
1478198435.292246,0131,8,14,80,00,00,29,127,13,11
1479121634.553972,0370,8,00,18,00,00,00,00,00,00
1478191224.033055,1087,8,00,40,60,255,72,184,08,00
1479121544.529628,0316,8,05,22,78,12,22,18,19,124
1478191207.140526,0316,8,45,29,24,255,29,24,00,255
1479121632.469767,0131,8,00,80,00,00,248,123,03,172
1767709370.14082,809,8,64,185,126,20,17,32,0,20
1479121597.339345,1264,8,00,00,00,80,00,55,03,14
1479121459.520916,0131,8,110,80,00,00,61,126,03,54
1478191204.240051,0316,8,05,21,108,09,21,20,00,74
1478198609.567934,1087,8,00,40,60,255,126,203,08,00
1767709370.149992,1072,8,0,0,0,0,0,0,0,0
1479121440.886965,399,8,254,36,00,00,00,76,00,00
1479121566.464513,0002,8,00,00,00,00,00,01,10,94
1767709370.214111,688,8,62,255,0,7,177,0,0,0
1478198498.319756,1201,8,29,27,27,23,00,00,00,154
1767709370.181233,1349,8,216,0,0,142,0,0,0,0
1767709370.175369,809,8,12,185,126,20,17,38,7,20
1478195885.952976,0130,8,15,80,00,255,252,127,12,198
1767709370.185055,1087,8,10,69,96,255,91,206,17,0
1767709370.186104,1349,8,216,0,0,140,0,0,0,0
1478195739.344865,704,8,15,00,00,00,00,00,00,00
1478195893.093293,1264,8,00,00,00,80,00,68,209,13
1479121508.810127,0260,8,18,77,92,30,255,163,180,95
1478198487.349037,0153,8,00,21,10,255,00,255,00,00
1478198525.947369,0153,8,00,21,10,255,00,255,00,00
1478198475.827853,0329,8,40,181,127,14,11,20,00,14
1767709370.11427,1349,8,216,0,0,141,0,0,0,0
1478198489.016736,672,8,64,00,154,29,97,02,189,00
1478198413.512435,0131,8,14,80,00,00,27,127,11,56
1478195929.364748,894,8,13,81,189,94,78,183,43,77
1478195877.543007,704,8,15,00,00,00,00,00,00,00
1767709370.231631,809,8,64,186,126,20,17,37,2,20
1479121543.5147,0130,8,176,126,00,255,27,127,03,21
1767709370.140997,672,8,32,0,107,29,1,4,221,0
1478195918.800699,0130,8,13,80,00,255,28,80,01,44
1478195818.776927,1087,8,10,40,60,255,125,218,08,00
1478195850.636298,399,8,254,52,00,00,00,60,00,00
1478195922.974062,672,8,74,33,96,187,25,250,179,46
1478198440.539852,1087,8,00,40,60,255,126,85,09,00
1479121630.273594,1087,8,01,45,60,255,63,00,00,00
1478198486.976733,704,8,14,00,00,00,00,00,00,00
1479121577.745321,0545,8,216,63,00,142,00,00,00,00
1478195782.518204,0131,8,251,127,00,00,56,127,04,190
1478195941.969937,0002,8,00,00,00,00,00,08,14,246
1479121638.023576,0350,8,05,28,196,66,106,00,00,229
1767709370.218595,880,8,0,33,0,0,0,0,0,0
1478191216.902701,1087,8,00,40,60,255,72,190,08,00
1478191132.260256,399,8,254,44,00,00,00,60,00,00
1478195968.258272,0130,8,14,80,00,255,37,80,03,41
1478198777.737052,672,8,64,00,154,29,97,02,189,00
1767709370.159346,1349,8,216,0,0,142,0,0,0,0
1478195982.773616,0370,8,00,20,00,00,00,00,00,00
1478195870.648,0440,8,255,00,00,00,255,219,08,00
1478198671.286724,0329,8,86,184,127,14,11,20,00,14
1478195863.297551,1087,8,10,40,60,255,125,196,08,00
1767709370.139491,809,8,135,185,126,20,17,32,0,20
1479121570.948144,672,8,00,00,108,29,01,04,221,00
1478191236.691971,0140,8,00,00,00,00,02,20,22,193
1478198738.618619,0130,8,17,80,00,255,250,127,11,251
1767709370.147934,305,8,123,128,0,0,77,127,7,169
1478195846.226685,1087,8,10,40,60,255,126,205,08,00
1767709370.236831,339,8,0,0,0,255,0,255,0,0
1478198428.736247,399,8,254,54,00,00,00,60,00,00
1479121635.438764,497,8,00,67,00,00,00,00,00,00
1478195867.285761,0350,8,05,20,14,68,76,00,00,47
1478198570.287723,0000,8,00,00,00,00,00,00,00,00
1478191116.178526,0370,8,00,20,00,00,00,00,00,00
1478195949.854617,0329,8,12,189,127,14,11,20,00,14
1478195754.825544,0316,8,05,22,108,09,22,21,00,111
1479121624.868949,0002,8,00,00,00,00,00,08,11,159
